	DOI	acquisition_orientation	add_date	authors	autocorrelation_model	b0_unwarping_software	contributors	coordinate_space	description	doi_add_date	download_url	echo_time	field_of_view	field_strength	flip_angle	full_dataset_url	functional_coregistered_to_structural	functional_coregistration_method	group_comparison	group_description	group_estimation_type	group_inference_type	group_model_multilevel	group_model_type	group_modeling_software	group_repeated_measures	group_repeated_measures_method	handedness	hemodynamic_response_function	high_pass_filter_method	collection_id	inclusion_exclusion_criteria	interpolation_method	intersubject_registration_software	intersubject_transformation_type	intrasubject_estimation_type	intrasubject_model_type	intrasubject_modeling_software	journal_name	length_of_blocks	length_of_runs	length_of_trials	matrix_size	modify_date	motion_correction_interpolation	motion_correction_metric	motion_correction_reference	motion_correction_software	name	nonlinear_transform_type	number_of_experimental_units	number_of_images	number_of_imaging_runs	number_of_rejected_subjects	object_image_type	optimization	optimization_method	order_of_acquisition	order_of_preprocessing_operations	orthogonalization_description	owner	owner_name	paper_url	parallel_imaging	proportion_male_subjects	pulse_sequence	quality_control	repetition_time	resampled_voxel_size	scanner_make	scanner_model	skip_distance	slice_thickness	slice_timing_correction_software	smoothing_fwhm	smoothing_type	software_package	software_version	subject_age_max	subject_age_mean	subject_age_min	target_resolution	target_template_image	transform_similarity_metric	type_of_design	url	used_b0_unwarping	used_dispersion_derivatives	used_high_pass_filter	used_intersubject_registration	used_motion_correction	used_motion_regressors	used_motion_susceptibiity_correction	used_orthogonalization	used_reaction_time_regressor	used_slice_timing_correction	used_smoothing	used_temporal_derivatives
400	10.1007/s00429-013-0698-0		2015-09-16T16:43:17.245328Z	Maren Amft, Danilo Bzdok, Angela R. Laird, Peter T. Fox, Leonhard Schilbach and Simon B. Eickhoff					In this study, we established a robust mapping of the social-affective default mode network (DMN) and those strongly connected to them (the extended social-affective default network). We performed meta-analytic connectivity modeling and resting-state analyses in the meta-analytically defined DMN regions, and obtained a a conjunction across both connectivity analyses. We then functionally characterized the ensuing regions and performed several cluster analyses. The current work highlights a robustly interconnected network that may be central to introspective, socio-affective, that is, self- and other-related mental processes. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T16:43:17.244448Z	http://neurovault.org/collections/819/download					http://anima.modelgui.org/studies/Amft_Social_Affective_2015															819								Brain Structure and Function					2016-02-29T09:39:49.728724Z					Definition and characterization of an extended social-affective default network			19									555	ANIMA	http://link.springer.com/10.1007/s00429-013-0698-0																							http://neurovault.org/collections/819/												
402	10.1016/j.bandc.2016.07.003		2016-06-03T10:21:49.372365Z	Giovanna Mollo, Theodoros Karapanagiotidis, Boris C. Bernhardt, Charlotte E. Murphy, Jonathan Smallwood and Elizabeth Jefferies			theodoros.karapanagiotidis			2016-09-24T16:56:31.637456Z	http://neurovault.org/collections/1424/download		192.0	3.0	90.0				False									right			1424								Brain and Cognition		540.0		64.0	2016-09-24T16:58:47.534573Z					An individual differences analysis of the neurocognitive architecture of the semantic system at rest			19		5.0				interleaved			1098	gmollo@york	http://linkinghub.elsevier.com/retrieve/pii/S0278262616301361		0.26	gradient single-shot echo planar imaging (EPI) sequence		3000.0		GE	Signa Excite HDX.		3.0				FSL	4	25.0	20.3	18.0				other	http://neurovault.org/collections/1424/												
405	10.1167/16.6.3		2016-06-20T08:30:30.830322Z	Jan-Bernard C. Marsman, Frans W. Cornelissen, Michael Dorr, Eleonora Vig, Erhardt Barth and Remco J. Renken				mni	A key property of human visual behavior is the very frequent movement of our eyes to potentially relevant information in the environment. Observers thus continuously have to prioritize information for directing their eyes to. Research in this field has been hampered by a lack of appropriate measures and tools. Here, we propose and validate a novel measure of priority that takes advantage of the variability in the natural viewing behavior of individual observers. In short, our measure assumes that priority is low when observers' gaze behavior is inconsistent and high when it is very consistent. We calculated priority for gaze data obtained during an experiment in which participants viewed dynamic natural scenes while we simultaneously recorded their gaze position and brain activity using functional magnetic resonance imaging. Our priority measure shows only limited correlation with various saliency, surprise, and motion measures, indicating it is assessing a distinct property of visual behavior. Finally, we correlated our priority measure with the BOLD signal, thereby revealing activity in a select number of human occipital and parietal areas. This suggests the presence of a cortical network involved in computing and representing viewing priority. We conclude that our new analysis method allows for empirically establishing the priority of events in near-natural vision paradigms.	2016-06-20T08:30:30.829836Z	http://neurovault.org/collections/1467/download	28.0		3.0	70.0		True	SPM8 default	False	healthy subjects	RFX	randommixedeffects		t-test	SPM	False		right			1467			SPM8	linear				Journal of Vision					2016-06-20T08:30:30.830344Z					A novel measure to determine viewing priority and its neural correlates in the human brain			0						ascending	Realignment, Coregistration, Normalization, Smoothing		1125	marsman	http://jov.arvojournals.org/article.aspx?doi=10.1167/16.6.3			EPI		1800.0	2.0	Philips	Intera				8.0		SPM	8					T1		eventrelated	http://neurovault.org/collections/1467/	False			False	True		False			False	True	
411	10.1371/journal.pone.0104989		2014-11-11T04:28:49.465860Z	Xiang-zhen Kong, Zonglei Zhen, Xueting Li, Huan-hua Lu, Ruosi Wang, Ling Liu, Yong He, Yufeng Zang, Jia Liu and Juan Zhou					The neural correlates of impulsivity in the ADHD children.	2014-11-11T04:28:49.465860Z	http://neurovault.org/collections/207/download																				207								PLoS ONE					2016-11-03T17:34:33.611951Z					Individual Differences in Impulsivity Predict Head Motion during Magnetic Resonance Imaging			2									190	Conxz	http://dx.plos.org/10.1371/journal.pone.0104989																							http://neurovault.org/collections/207/												
412	10.1007/s00429-014-0797-6		2015-09-16T17:36:18.918219Z	Veronika I. Müller, Robert Langner, Edna C. Cieslik, Claudia Rottschy and Simon B. Eickhoff					We examined whether cognitive flexibility is associated with gray matter volume (GMV) and functional connectivity (FC) of regions of a core network of multiple cognitive demands as well as with different facets of trait impulsivity. Card-sorting performance correlated positively with GMV of the right anterior insula, FC between bilateral anterior insula and midcingulate cortex/supplementary motor area. GMV, FC and impulsivity together accounted for more variance of card-sorting performance than every parameter alone. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T17:36:18.917419Z	http://neurovault.org/collections/840/download					http://anima.modelgui.org/studies/Mueller_CognitiveFlexibility_2014															840								Brain Structure and Function					2016-02-29T09:37:26.935767Z					Interindividual differences in cognitive flexibility: influence of gray matter volume, functional connectivity and trait impulsivity			2									555	ANIMA	http://link.springer.com/10.1007/s00429-014-0797-6																							http://neurovault.org/collections/840/												
418	10.3389/fnbeh.2014.00184		2015-07-21T00:01:55.139206Z	Laura N. van der Laan, Denise T. D. de Ridder, Lisette Charbonnier, Max A. Viergever and Paul A. M. Smeets				mni	Despite their intentions, weight-concerned individuals generally fail to control their eating behavior. However, it is unknown whether this failure is due to a lack of effortful self-control, or to not experiencing an internal conflict between weight goals and food temptations. The present study used fMRI, eye tracking and reaction times to assess the degree of conflict experienced by weight-concerned women during food choices that posed either a self-control dilemma (i.e., requiring a choice between healthy and palatable foods), or not. Contrary to the common assumption in self-control theory that food choices posing a self-control dilemma evoke internal conflict, we found that choices requiring self-control induced no conflict, as demonstrated by lower reaction times, fixation durations, number of gaze switches between snacks, and lower activation of the anterior cingulate cortex. Our results suggest that self-control failure might be due to a lack of experienced conflict, rather than to failing to act upon the perception of such conflict. This implies that effectiveness of weight maintenance interventions might be improved if they also focus on increasing the ability to detect a self-control dilemma, in addition to the current focus on increasing self-regulatory capacity.	2015-09-15T07:48:24.473327Z	http://neurovault.org/collections/724/download	3.8		3.0	70.0		True		False		REML	randommixedeffects		Factorial design: one sample t-test		False		right	CAnonical	128 s	724	Inclusion criteria: a restraint-score above average or high, age between 18 and 30 years, being right-handed, having a normal weight. Exclusion: Food allergy, eating disorder, many more (see paper). 		SPM 8	linear	Classical (REML)	GLM		Frontiers in Behavioral Neuroscience		714.0	3.5		2016-05-03T14:53:39.587893Z			first image		Sweet lies: neural, visual, and behavioral measures reveal a lack of self-control conflict during food choice in weight-concerned women		100.0	4	1.0	0.0		False			realignment, coregistration, normalisation, smoothing		504	lnvdlaan	http://journal.frontiersin.org/article/10.3389/fnbeh.2014.00184/abstract		0.0	2D-Epi sequence (WIP F4H_EPI_1.6s_30sl_sense2 SENSE)	calculuation of SNR maps, movement figures. 	1400.0	4.0	Philips	Achieva	0.0	4.0		8.0		SPM 	8		21.2					eventrelated	http://neurovault.org/collections/724/	False	False	True	True	True	True		False	False	False	True	False
420	10.1002/hbm.22987		2016-04-24T19:48:31.462871Z	Jennifer L. Robinson, Daniel S. Barron, Lauren A. J. Kirby, Katherine L. Bottenhorn, Ashley C. Hill, Jerry E. Murphy, Jeffrey S. Katz, Nouha Salibi, Simon B. Eickhoff and Peter T. Fox					We employed coactivation based parcellation and ultra-high field, high-resolution functional and structural neuroimaging to characterize the neurofunctional topography of the hippocampus. Data revealed strong support for an evolutionarily preserved topography along the long-axis. Segmentations shared connectivity with brain regions known to support the correlated processes. This represents the first neurofunctional topographic model of the hippocampus using a robust, bias-free, multi-modal approach. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2016-04-24T19:48:31.462129Z	http://neurovault.org/collections/1326/download					http://anima.fz-juelich.de/api/studies/Robinson_Hippocampus_2015															1326								Human Brain Mapping					2016-04-24T19:49:32.366884Z					Neurofunctional topography of the human hippocampus			8									555	ANIMA	http://doi.wiley.com/10.1002/hbm.22987																							http://neurovault.org/collections/1326/												
425	10.1093/cercor/bhw215		2016-07-30T18:17:56.433247Z	Michel Thiebaut de Schotten, Marika Urbanski, Benedicte Batrancourt, Richard Levy, Bruno Dubois, Leonardo Cerliani and Emmanuelle Volle						2016-07-30T18:26:55.771992Z	http://neurovault.org/collections/1597/download																				1597								Cerebral Cortex					2016-08-01T00:53:25.189762Z					Rostro-caudal Architecture of the Frontal Lobes in Humans			4									1	ChrisFiloGorgolewski	http://www.cercor.oxfordjournals.org/lookup/doi/10.1093/cercor/bhw215																							http://neurovault.org/collections/1597/												
431	10.1016/j.neuroimage.2012.11.020		2015-09-16T17:35:16.216348Z	Robert M. Hardwick, Claudia Rottschy, R. Chris Miall and Simon B. Eickhoff					We used activation likelihood estimation (ALE) meta-analysis to examine activations related to motor learning (70 experiments). We searched for converging activations across different motor learning experiments and for specific activations related to serial response time task (SRTT) and sensorimotor tasks. We found a consistent pattern of activity across paradigms in the dPMC, SMC, M1, S1, SPL, thalamus, putamen and cerebellum. This dataset was automatically imported from the ANIMA <http://anima.modelgui.org/> database. Version: 1	2015-09-16T17:35:16.215890Z	http://neurovault.org/collections/833/download					http://anima.modelgui.org/studies/Hardwick_MotorLearning_2013															833								NeuroImage					2016-02-29T09:31:51.131437Z					A quantitative meta-analysis and review of motor learning in the human brain			4									555	ANIMA	http://linkinghub.elsevier.com/retrieve/pii/S1053811912011329																							http://neurovault.org/collections/833/												
436	10.1523/JNEUROSCI.2649-13.2013		2015-03-05T20:47:45.282038Z	J. M. Walz, R. I. Goldman, M. Carapezza, J. Muraskin, T. R. Brown and P. Sajda			ChrisFiloGorgolewski, RussPoldrack		"OpenfMRI ds000116

Healthy subjects performed separate but analogous auditory and visual oddball tasks (interleaved), while we recorded simultaneous EEG-fMRI.  "	2015-03-05T20:47:45.282038Z	http://neurovault.org/collections/417/download			3.0		https://openfmri.org/dataset/ds000116												both			417								Journal of Neuroscience					2016-01-27T21:47:46.623647Z					Simultaneous EEG-fMRI Reveals Temporal Evolution of Coupling between Supramodal Cortical Attention Networks and the Brainstem			16									186	vsochat	http://www.jneurosci.org/cgi/doi/10.1523/JNEUROSCI.2649-13.2013		0.65			2.0		Philips	Achieva								40.0	27.7	20.0					http://neurovault.org/collections/417/												
439	10.1371/journal.pone.0103492		2014-06-24T13:47:29.350257Z	Helene Hjelmervik, Markus Hausmann, Berge Osnes, René Westerhausen, Karsten Specht and Daniele Marinazzo						2014-06-24T13:47:29.350257Z	http://neurovault.org/collections/56/download																				56								PLoS ONE					2016-01-27T22:00:52.116288Z					Resting States Are Resting Traits – An fMRI Study of Sex Differences and Menstrual Cycle Effects in Resting State Cognitive Control Networks			48									72	helenehjelmervik	http://dx.plos.org/10.1371/journal.pone.0103492																							http://neurovault.org/collections/56/												
440	10.1002/hbm.22321		2015-03-05T21:20:13.361623Z	James M. Shine, Glenda M. Halliday, Moran Gilat, Elie Matar, Samuel J. Bolitho, Maria Carlos, Sharon L. Naismith and Simon J.G. Lewis						2015-03-05T21:20:13.361623Z	http://neurovault.org/collections/422/download																				422								Human Brain Mapping					2016-06-12T22:18:27.150608Z					The role of dysfunctional attentional control networks in visual misperceptions in Parkinson's disease			6									330	macshine	http://doi.wiley.com/10.1002/hbm.22321																							http://neurovault.org/collections/422/												
441	10.1371/journal.pone.0052602		2015-03-05T21:07:37.061008Z	James M. Shine, Elie Matar, Philip B. Ward, Samuel J. Bolitho, Mark Pearson, Sharon L. Naismith, Simon J. G. Lewis and Robert Chen						2015-03-05T21:07:37.061008Z	http://neurovault.org/collections/421/download																				421								PLoS ONE					2016-06-12T22:19:28.698307Z					Differential Neural Activation Patterns in Patients with Parkinson's Disease and Freezing of Gait in Response to Concurrent Cognitive and Motor Load			6									330	macshine	http://dx.plos.org/10.1371/journal.pone.0052602																							http://neurovault.org/collections/421/												
449	10.1523/JNEUROSCI.0519-07.2007		2014-06-04T15:11:44.134209Z	A. R. Aron, T. E. Behrens, S. Smith, M. J. Frank and R. A. Poldrack			vsochat		OpenfMRI ds000008	2014-06-04T15:11:44.134209Z	http://neurovault.org/collections/42/download			3.0		https://openfmri.org/dataset/ds000008															42								Journal of Neuroscience					2016-01-27T21:47:48.241606Z					Triangulating a Cognitive Control Network Using Diffusion-Weighted Magnetic Resonance Imaging (MRI) and Functional MRI			17									1	ChrisFiloGorgolewski	http://www.jneurosci.org/cgi/doi/10.1523/JNEUROSCI.0519-07.2007							Siemens	Allegra															http://neurovault.org/collections/42/												
451	10.1093/cercor/bhr166		2014-08-27T12:36:18.102288Z	D. Bzdok, R. Langner, F. Hoffstaedter, B. I. Turetsky, K. Zilles and S. B. Eickhoff						2014-08-27T12:36:18.102288Z	http://neurovault.org/collections/110/download																				110								Cerebral Cortex					2016-06-12T22:20:19.756398Z					The Modular Neuroarchitecture of Social Judgments on Faces			6									111	danilobzdok	http://www.cercor.oxfordjournals.org/cgi/doi/10.1093/cercor/bhr166																							http://neurovault.org/collections/110/												
453	10.3389/fninf.2015.00008		2015-03-10T04:30:36.493545Z	Krzysztof J. Gorgolewski, Gael Varoquaux, Gabriel Rivera, Yannick Schwartz, Satrajit S. Ghosh, Camille Maumet, Vanessa V. Sochat, Thomas E. Nichols, Russell A. Poldrack, Jean-Baptiste Poline, Tal Yarkoni and Daniel S. Margulies						2015-03-10T04:30:36.493545Z	http://neurovault.org/collections/439/download																				439								Frontiers in Neuroinformatics					2016-01-27T21:47:49.370090Z					NeuroVault.org: a web-based repository for collecting and sharing unthresholded statistical maps of the human brain			3									1	ChrisFiloGorgolewski	http://journal.frontiersin.org/article/10.3389/fninf.2015.00008																							http://neurovault.org/collections/439/												
456	10.1523/JNEUROSCI.3083-15.2016		2015-11-18T12:16:50.871243Z	M. M. Menz, J. S. Rihm and C. Buchel				mni	We use a split-night protocol to investigate the influence of different sleep phases on successful consolidation of conditioned fear and extinction. Such a protocol utilizes the fact that in humans the first half of the night is dominated by slow wave sleep, whereas during the second half, rapid eye movement (REM) sleep is more predominant. Our data show that only REM-rich sleep during the second half of the night promoted good discrimination between fear-relevant and neutral stimuli during recall, while staying awake led to a recovery of discrimination between extinguished and neutral stimuli. This suggests that sleep following extinction contributes independently to successful extinction memory consolidation.	2016-02-22T23:11:08.299627Z	http://neurovault.org/collections/954/download	26.0	220.0	3.0	90.0		True		True	late night consolidation: sleep vs wake		randommixedeffects				False		right			954				nonlinear				Journal of Neuroscience			6	110.0	2016-06-14T15:38:38.471706Z			mean image		REM Sleep Is Causal to Successful Consolidation of Dangerous and Safety Stimuli and Reduces Return of Fear after Extinction	DARTEL to IXI Template		2	2.0	0.0	T1						741	MareikeM	http://www.jneurosci.org/cgi/doi/10.1523/JNEUROSCI.3083-15.2016	2	1.0	EPI		2.58		Siemens	TRIO	1.0	2.0				SPM	12		25.6			IXI Template as provided by VBM8 toolbox		eventrelated	http://neurovault.org/collections/954/	False			True	True		False					
459	10.1093/cercor/bhm220		2015-03-06T01:00:20.491188Z	G. Xue, A. R. Aron and R. A. Poldrack					"OpenfMRI ds000007

Subjects performed a stop-signal task with one of three response types: manual response, spoken letter naming, and spoken pseudoword naming.
"	2015-03-06T01:00:20.491188Z	http://neurovault.org/collections/423/download			3.0		https://openfmri.org/dataset/ds000007															423								Cerebral Cortex					2016-01-27T21:47:47.759214Z					Common Neural Substrates for Inhibition of Spoken and Manual Responses			20									186	vsochat	http://www.cercor.oxfordjournals.org/cgi/doi/10.1093/cercor/bhm220		0.55					Siemens	Allegra								39.0	23.75	18.0					http://neurovault.org/collections/423/												
461	10.1126/science.aaf0941		2016-06-20T13:27:32.511128Z	A. O. Constantinescu, J. X. OReilly and T. E. J. Behrens						2016-06-20T13:27:32.510631Z	http://neurovault.org/collections/1470/download																				1470								Science					2016-06-20T15:33:20.317342Z					Organizing conceptual knowledge in humans with a gridlike code			2									1119	alexandra.constantinescu	http://www.sciencemag.org/cgi/doi/10.1126/science.aaf0941																							http://neurovault.org/collections/1470/												
462	10.1126/scitranslmed.aaf7551		2016-12-01T18:12:02.349262Z	H.-Y. Wey, T. M. Gilbert, N. R. Zurcher, A. She, A. Bhanot, B. D. Taillon, F. A. Schroeder, C. Wang, S. J. Haggarty and J. M. Hooker						2016-12-01T18:12:02.348683Z	http://neurovault.org/collections/2043/download																				2043								Science Translational Medicine					2016-12-01T18:57:01.947652Z					Insights into neuroepigenetics through human histone deacetylase PET imaging			8									1421	monicawey	http://stm.sciencemag.org/cgi/doi/10.1126/scitranslmed.aaf7551																							http://neurovault.org/collections/2043/												
463	10.1016/j.neuroimage.2016.11.025		2016-09-28T09:42:35.329792Z	Johannes Golchert, Jonathan Smallwood, Elizabeth Jefferies, Paul Seli, Julia M. Huntenburg, Franziskus Liem, Mark E. Lauckner, Sabine Oligschläger, Boris C. Bernhardt, Arno Villringer and Daniel S. Margulies						2016-11-19T04:14:14.053345Z	http://neurovault.org/collections/1880/download																				1880								NeuroImage					2016-11-19T04:16:18.314419Z					Individual variation in intentionality in the mind-wandering state is reflected in the integration of the default-mode, fronto-parietal, and limbic networks			20									436	johannes.golchert	http://linkinghub.elsevier.com/retrieve/pii/S1053811916306425																							http://neurovault.org/collections/1880/												
466	10.1073/pnas.1321728111	oblique	2014-03-24T21:17:34.497470Z	S. M. Helfinstein, T. Schonberg, E. Congdon, K. H. Karlsgodt, J. A. Mumford, F. W. Sabb, T. D. Cannon, E. D. London, R. M. Bilder and R. A. Poldrack				mni	Regions where patterns of neural activation predict making risky vs. safe choices on the subsequent trials	2014-03-24T21:17:34.497470Z	http://neurovault.org/collections/34/download	30.0	192.0	3.0	90.0		True		False									right	double-gamma		34	White/Hispanic or Latino or White/Not Hispanic or Latino; primary language of English or Spanish; 8yrs formal education; no significant medical illness; visual acuity of 20/60 or better		FSL	linear		regression		Proceedings of the National Academy of Sciences		540.0		64.0	2016-02-29T09:31:56.843661Z					Predicting risky choices from brain activity patterns			3	1.0	31.0							47	shelfins	http://www.pnas.org/cgi/doi/10.1073/pnas.1321728111					2000.0	2.0	Siemens	Trio		4.0		5.0	non-linear high pass filter	FSL		50.0		21.0				eventrelated	http://neurovault.org/collections/34/		False	True	True	True	True			True	True	True	True
467	10.1073/pnas.1018711108		2015-06-22T09:18:21.605851Z	C. Pallier, A.-D. Devauchelle and S. Dehaene			bthirion, gael.varoquaux		Linguistic analyses suggest that sentences are not mere strings of words but possess a hierarchical structure with constituents nested inside each other. We used functional magnetic resonance imaging (fMRI) to search for the cerebral mechanisms of this theoretical construct. We hypothesized that the neural assembly that encodes a constituent grows with its size, which can be approximately indexed by the number of words it encompasses. We therefore searched for brain regions where activation increased parametrically with the size of linguistic constituents, in response to a visual stream always comprising 12 written words or pseudowords. The results isolated a network of left-hemispheric regions that could be dissociated into two major subsets. Inferior frontal and posterior temporal regions showed constituent size effects regardless of whether actual content words were present or were replaced by pseudowords (jabberwocky stimuli). This observation suggests that these areas operate autonomously of other language areas and can extract abstract syntactic frames based on function words and morphological information alone. On the other hand, regions in the temporal pole, anterior superior temporal sulcus and temporo-parietal junction showed constituent size effect only in the presence of lexico-semantic information, suggesting that they may encode semantic constituents. In several inferior frontal and superior temporal regions, activation was delayed in response to the largest constituent structures, suggesting that nested linguistic structures take increasingly longer time to be computed and that these delays can be measured with fMRI. 	2015-06-22T09:18:21.605851Z	http://neurovault.org/collections/654/download																				654								Proceedings of the National Academy of Sciences					2016-02-29T09:06:36.251133Z					Cortical representation of the constituent structure of sentences			26									470	schwarty	http://www.pnas.org/cgi/doi/10.1073/pnas.1018711108																							http://neurovault.org/collections/654/												
474	10.1016/j.bbr.2015.03.009	oblique parallel tot he brainstem	2015-07-06T12:24:01.408594Z	Anne-Sophie Windel, Paul Glad Mihai and Martin Lotze					This study looked at the difference in neuronal activation between healthy young and senior adults using fMRI. We wanted to make sure that the results were not influenced by the statistical method, so we decided to use two different approaches: Frequentist and Bayesian statistics (both implemented in SPM). Surprisingly, we found no difference between old vs young.	2015-07-06T12:24:01.408594Z	http://neurovault.org/collections/695/download	22.0	192.0	3.0	90.0				True	One group consisted of young subjects (mean age 24.2 years) and the other of seniors (mean age 64.8). Both groups consisted of healthy individuals with no previous swallowing problems.								both			695	Healthy subjects with no previous swallowing problems.							Behavioural Brain Research		250.0	11	96.0	2016-01-27T21:47:51.828212Z					Neural representation of swallowing is retained with age. A functional neuroimaging study validated by classical and Bayesian inference		1.0	2	125.0	0.0		False		interleaved			486	pgmihai	http://linkinghub.elsevier.com/retrieve/pii/S0166432815001539	iPAT 2	13.0	EPI		2.0		Siemens	Verio	2.5	2.5						75.0	44.0	20.0				eventrelated	http://neurovault.org/collections/695/												
482	10.1016/j.neuroimage.2011.01.040		2016-10-24T15:14:43.858992Z	Stephen Frey, Deepak N. Pandya, M. Mallar Chakravarty, Lara Bailey, Michael Petrides and D. Louis Collins						2016-10-24T15:14:43.858435Z	http://neurovault.org/collections/1942/download					http://www.bic.mni.mcgill.ca/ServicesAtlases/Macaque															1942								NeuroImage					2016-10-24T20:43:17.011935Z					An MRI based average macaque monkey stereotaxic atlas and space (MNI monkey space)			2									1	ChrisFiloGorgolewski	http://linkinghub.elsevier.com/retrieve/pii/S1053811911000759																							http://neurovault.org/collections/1942/												
490	10.3389/fnins.2016.00236		2016-02-18T15:32:58.187220Z	Mehdi Hadj-Hamou, Marco Lorenzi, Nicholas Ayache and Xavier Pennec						2016-06-14T12:27:51.325280Z	http://neurovault.org/collections/1191/download								True												1191								Frontiers in Neuroscience					2016-06-18T01:27:21.708837Z					Longitudinal Analysis of Image Time Series with Diffeomorphic Deformations: A Computational Framework Based on Stationary Velocity Fields			21									942	MehdiHH	http://journal.frontiersin.org/article/10.3389/fnins.2016.00236																							http://neurovault.org/collections/1191/												
492	10.1093/scan/nss148		2015-01-09T01:57:35.969797Z	B. T. Denny, K. N. Ochsner, J. Weber and T. D. Wager				mni	"Statistical maps from the following paper:

Denny, B. T., Ochsner, K. N., Weber, J., & Wager, T. D. (2014). Anticipatory brain activity predicts the success or failure of subsequent emotion regulation. Soc Cogn Affect Neurosci, 9(4), 403-411."	2015-01-09T01:57:35.969797Z	http://neurovault.org/collections/307/download	40.0	220.0	1.5	60.0		True	SPM2	False		OLS	randommixedeffects		regression	SPM2	False		right	double gamma	120 s	307			SPM2	nonlinear	OLS	regression	SPM2	Social Cognitive and Affective Neuroscience					2016-01-27T21:44:18.224906Z				FSL	Anticipatory brain activity predicts the success or failure of subsequent emotion regulation			1		6.0					FSL: slice-time, motion correction. SPM2: coregistration, normalization, smoothing		274	bryandenny	http://scan.oxfordjournals.org/lookup/doi/10.1093/scan/nss148		64.0	EPI	manual inspection of coregistration and normalization	2000.0		GE	Signa Twin Speed Excite HD		4.5	FSL	6.0	Gaussian	FSL / SPM2			22.0	18.0		avg152T1.img		other	http://neurovault.org/collections/307/	False	False	True	True	True				False	True	True	False
496	10.1093/scan/nsv084		2015-07-06T01:51:20.845024Z	Robert P. Spunt, David Kemmerer and Ralph Adolphs					"People can conceptualize the same action (e.g., ""riding a bike"") at different levels of abstraction (LOA), where higher LOAs specify the abstract motives that explain why the action is performed (e.g., ""getting exercise""), while lower LOAs specify the concrete steps that indicate how the action is performed (e.g., ""gripping handlebars""). Prior neuroimaging studies have shown that why and how questions about actions differentially activate two cortical networks associated with mental-state reasoning and action representation, respectively; however, it remains unknown whether this is due to the differential demands of the questions per se or to the shifts in LOA those questions produce. We conducted functional MRI while participants judged pairs of action phrases that varied in LOA and that could be framed either as a why question (Why ride a bike? Get exercise.) or a how question (How to get exercise? Ride a bike.). Question framing (why vs. how) had no effect on activity in regions of the two networks. Instead, these regions uniquely tracked parametric variation in LOA, both across and within trials. This suggests that the human capacity to understand actions at different levels of abstraction is based in the relative activity of two cortical networks."	2015-07-06T01:51:20.845024Z	http://neurovault.org/collections/694/download								False									right			694	Participants were neurologically and psychiatrically healthy, had normal/corrected-to-normal vision, spoke English fluently, had IQ in the normal range (assessed with the Wechsler Abbreviated Scales o							Social Cognitive and Affective Neuroscience					2016-01-27T21:46:41.981587Z					The Neural Basis of Conceptualizing the Same Action at Different Levels of Abstraction			5		2.0							267	spunt	http://scan.oxfordjournals.org/lookup/doi/10.1093/scan/nsv084		0.65														46.0	29.47	21.0					http://neurovault.org/collections/694/												
501	10.3389/fnhum.2012.00137		2015-03-06T01:54:12.922898Z	Grega Repovš and Deanna M. Barch			ChrisFiloGorgolewski, RussPoldrack		"OpenfMRI ds000115

Individuals diagnosed with schizophrenia, their unaffected siblings, and healthy controls performed three levels of an n-back task (0, 1, and 2-back).

Working Memory Related Brain Network Connectivity in Individuals with Schizophrenia and Their Siblings

Brain Network Connectivity in Individuals with Schizophrenia and Their Siblings"	2015-03-06T01:54:12.922898Z	http://neurovault.org/collections/428/download			3.0		https://openfmri.org/dataset/ds000115															428								Frontiers in Human Neuroscience					2016-01-27T21:47:52.083440Z					Working Memory Related Brain Network Connectivity in Individuals with Schizophrenia and Their Siblings			18									186	vsochat	http://journal.frontiersin.org/article/10.3389/fnhum.2012.00137/abstract		0.598			2.5		Siemens	Trio								30.78	22.9	11.67					http://neurovault.org/collections/428/												
